i.data, BY, AGE, R, i, m, d, d.rate, i.rate, m.rate, N, S.i, S.m, I, M, I.est, M.est, D
1, 1979, 1, 67780, 0, 0, 0.938655494505494, 0.938655494505494, 0, 0, 67780, 0, 0, 0, 0, 0, 0, 63622.0694175824
1, 1979, 2, 67780, 0.00017732762060234, 0.00519494478131969, 0.451869645500778, 0.451869645500778, 0.00017732762060234, 0.00519494478131969, 4157.93058241762, 0.147463187361964, 21.5963894646418, 0.737315936809818, 21.5963894646418, 0.737315936809818, 21.5963894646418, 1868.75069475142
1, 1979, 3, 67780, 0.470274699055525, 0.184923939831733, 0.598404840737821, 0.598404840737821, 0.470274699055525, 0.184923939831733, 2266.84618226475, 213.208081233944, 222.057735088194, 1066.04040616972, 222.057735088194, 1066.04040616972, 222.057735088194, 585.687565601148
1, 1979, 4, 67780, 0.825878427692629, 0.952095808383233, 0.2533993061295, 0.2533993061295, 0.825878427692629, 0.952095808383233, 393.060475405685, 64.9240334832329, 65.16173036128, 324.620167416164, 65.16173036128, 324.620167416164, 65.16173036128, 0.830789296087855
1, 1979, 5, 67780, 0.375, 1, NA, NA, 0.375, 1, 2.44778833215269, 0.183584124911451, 1.52986770759543, 0.917920624557257, 1.52986770759543, 0.917920624557257, 1.52986770759543, NA
1, 1980, 1, 67780, 0, 0, 0.964292309891366, 0.964292309891366, 0, 0, 67780, 0, 0, 0, 0, 0, 0, 65359.7327644368
1, 1980, 2, 67780, 0.00742961679029346, 0.0216168256336835, 0.598404840737821, 0.598404840737821, 0.00742961679029346, 0.0216168256336835, 2420.26723556321, 3.59633161806751, 51.9297884505437, 17.9816580903376, 51.9297884505437, 17.9816580903376, 51.9297884505437, 1406.46428160712
1, 1980, 3, 67780, 0.151033615696943, 0.156927484159161, 0.2533993061295, 0.2533993061295, 0.151033615696943, 0.156927484159161, 943.891507415206, 28.5118694381113, 125.75103987988, 142.559347190557, 125.75103987988, 142.559347190557, 125.75103987988, 171.191787129555
1, 1980, 4, 67780, 0.494485558787111, 0.838507547707206, 0.190587845622456, 0.190587845622456, 0.494485558787111, 0.838507547707206, 504.389333215215, 49.8826482562368, 213.799377571572, 249.413241281184, 213.799377571572, 249.413241281184, 213.799377571572, 7.84778128015241
1, 1980, 5, 67780, 0.135802469135802, 1, NA, NA, 0.135802469135802, 1, 33.3289330823072, 0.905230281247845, 28.8027816760679, 4.52615140623923, 28.8027816760679, 4.52615140623923, 28.8027816760679, NA
1, 1981, 1, 67780, 0, 0, 0.983700007647014, 0.983700007647014, 0, 0, 67780, 0, 0, 0, 0, 0, 0, 66675.1865183146
1, 1981, 2, 67780, 0.00017732762060234, 0.00187656869414276, 0.2533993061295, 0.2533993061295, 0.00017732762060234, 0.00187656869414276, 1104.81348168539, 0.0391827891833313, 2.07289074662001, 0.195913945916656, 2.07289074662001, 0.195913945916656, 2.07289074662001, 279.384056126762
1, 1981, 3, 67780, 0.162064346313835, 0.127892301220025, 0.190587845622456, 0.190587845622456, 0.162064346313835, 0.127892301220025, 823.160620866087, 26.6809975863906, 88.2144351754213, 133.404987931953, 88.2144351754213, 133.404987931953, 88.2144351754213, 114.646440933985
1, 1981, 4, 67780, 0.352789837594469, 0.993788819875776, 0.461318193158469, 0.461318193158469, 0.352789837594469, 0.993788819875776, 486.894756824728, 34.3543044371589, 313.165947467263, 171.771522185794, 313.165947467263, 171.771522185794, 313.165947467263, 0.902932181527279
1, 1981, 5, 67780, 0.00017732762060234, 1, NA, NA, 0.00017732762060234, 1, 1.05435499014321, 3.73932523344597e-05, 1.05416802388154, 0.000186966261672299, 1.05416802388154, 0.000186966261672299, 1.05416802388154, NA
1, 1982, 1, 67780, 0, 0, 0.927440644995796, 0.927440644995796, 0, 0, 67780, 0, 0, 0, 0, 0, 0, 62861.9269178151
1, 1982, 2, 67780, 0.000432087399496716, 0.00510869485127066, 0.190587845622456, 0.190587845622456, 0.000432087399496716, 0.00510869485127066, 4918.07308218494, 0.425007481723218, 25.1140784654629, 2.12503740861609, 25.1140784654629, 2.12503740861609, 25.1140784654629, 932.133508936319
1, 1982, 3, 67780, 0.315561052561415, 0.372233944705946, 0.461318193158469, 0.461318193158469, 0.315561052561415, 0.372233944705946, 3958.70045737455, 249.842336620893, 1008.56369458303, 1249.21168310447, 1008.56369458303, 1249.21168310447, 1008.56369458303, 784.667684459154
1, 1982, 4, 67780, 0.556867476801976, 0.988006482982172, 0.364293424430591, 0.364293424430591, 0.556867476801976, 0.988006482982172, 916.257395227895, 102.046788756342, 401.153802271629, 510.233943781709, 401.153802271629, 510.233943781709, 401.153802271629, 1.773981173575
1, 1982, 5, 67780, 0.72972972972973, 1, NA, NA, 0.72972972972973, 1, 3.09566800098208, 0.451800194737926, 0.836667027292454, 2.25900097368963, 0.836667027292454, 2.25900097368963, 0.836667027292454, NA
1, 1983, 1, 67780, 0, 0, 0.898807500686103, 0.898807500686103, 0, 0, 67780, 0, 0, 0, 0, 0, 0, 60921.1723965041
1, 1983, 2, 67780, 0.00017732762060234, 0.00250389277079209, 0.461318193158469, 0.461318193158469, 0.00017732762060234, 0.00250389277079209, 6858.82760349593, 0.243251915809917, 17.1707234689353, 1.21625957904958, 17.1707234689353, 1.21625957904958, 17.1707234689353, 3155.61970743284
1, 1983, 3, 67780, 0.195291847412556, 0.085782521811181, 0.364293424430591, 0.364293424430591, 0.195291847412556, 0.085782521811181, 3684.8209130151, 143.923096697428, 254.362799433115, 719.615483487141, 254.362799433115, 719.615483487141, 254.362799433115, 987.542144809682
1, 1983, 4, 67780, 0.559009081054184, 0.969574853919001, 0.527567710693972, 0.527567710693972, 0.559009081054184, 0.969574853919001, 1723.30048528517, 192.668124131898, 736.837974728744, 963.34062065949, 736.837974728744, 963.34062065949, 736.837974728744, 12.1983625198427
