i.data, BY, AGE, R, i, m, d, d.rate, i.rate, m.rate, N, S.i, S.m, I, M, D, I.est, M.est
1, 1986, 3, 67780, 0.0559796369813155, 0.415719153835346, 0.738294568304261, 0.741214057507987, 0.0508474576271186, 0.441071428571429, 590, 3, 247, 30, 247, 232, 15, 247
1, 1986, 4, 67780, 0.134230720061338, 0.948896315421268, 0.659277698535569, 0.75, 0.0987654320987654, 0.945205479452055, 81, 3, 69, 8, 69, 3, 15, 69
1, 1986, 5, 67780, 0.286456106012595, 1, NA, NA, 0, 1, 1, 0, 1, 0, 1, NA, 0, 1
1, 1987, 1, 67780, 0, 0, 0.855608579972092, 0.856698141044556, 0, 0, 67780, 0, 0, 0, 0, 58067, 0, 0
1, 1987, 2, 67780, 0.00014844677283643, 0.0197965194623336, 0.738294568304261, 0.74248159831756, 0.000308864408524658, 0.0205973223480947, 9713, 1, 200, 3, 200, 7061, 5, 200
1, 1987, 3, 67780, 0.0543710879939396, 0.504468407749902, 0.659277698535569, 0.646902654867257, 0.0559412004899959, 0.511245674740484, 2449, 21, 1182, 137, 1182, 731, 105, 1182
1, 1987, 4, 67780, 0.286456106012595, 0.948896315421268, 0.658386192373351, 0.909090909090909, 0.31328320802005, 0.95985401459854, 399, 17, 263, 125, 263, 10, 85, 263
1, 1987, 5, 67780, 0.336298210580261, 1, NA, NA, 0, 1, 1, 0, 1, 0, 1, NA, 0, 1
1, 1988, 1, 67780, 0, 0, 0.998809404450233, 0.999070522277958, 0, 0, 67780, 0, 0, 0, 0, 67717, 0, 0
1, 1988, 2, 67780, 0.000144060018469783, 0.00435107414195235, 0.659277698535569, 0.634920634920635, 0, 0, 63, 0, 0, 0, 0, 40, 0, 0
1, 1988, 3, 67780, 0.122701069611324, 0.14197371370519, 0.658386192373351, 0.823529411764706, 0, 0.260869565217391, 23, 0, 6, 0, 6, 14, 0, 6
1, 1988, 4, 67780, 0.336298210580261, 0.948896315421268, 0.627080346162871, NaN, 0.666666666666667, 1, 3, 0, 1, 2, 1, 0, 0, 1
1, 1988, 5, 67780, 0.337623042254616, 1, NA, NA, NaN, NaN, 0, 0, 0, 0, 0, NA, 0, 0
1, 1989, 1, 67780, 0, 0, 0.995519556469141, 0.995485393921511, 0, 0, 67780, 0, 0, 0, 0, 67474, 0, 0
1, 1989, 2, 67780, 0.000337298873444358, 0.00582860856742029, 0.658386192373351, 0.706270627062706, 0, 0.00980392156862745, 306, 0, 3, 0, 3, 214, 0, 3
1, 1989, 3, 67780, 0.146997585479351, 0.185572067940783, 0.627080346162871, 0.7, 0.123595505617978, 0.230769230769231, 89, 4, 18, 11, 18, 42, 20, 18
1, 1989, 4, 67780, 0.337623042254616, 0.948896315421268, 0.625823846452826, 1, 0.222222222222222, 0.928571428571429, 18, 0, 13, 4, 13, 1, 0, 13
1, 1989, 5, 67780, 0.249711833135133, 1, NA, NA, NaN, NaN, 0, 0, 0, 0, 0, NA, 0, 0
1, 1990, 1, 67780, 0, 0, 0.995460362134244, 0.995603422838595, 0, 0, 67780, 0, 0, 0, 0, 67482, 0, 0
1, 1990, 2, 67780, 0.000409649487233432, 0.00860542094031413, 0.627080346162871, 0.64527027027027, 0, 0.00671140939597315, 298, 0, 2, 0, 2, 191, 0, 2
1, 1990, 3, 67780, 0.147658400118104, 0.261759400141349, 0.625823846452826, 0.722222222222222, 0.123809523809524, 0.217391304347826, 105, 1, 20, 13, 20, 52, 5, 20
1, 1990, 4, 67780, 0.249711833135133, 0.948896315421268, 0.312075809794695, 0.5, 0.15, 0.882352941176471, 20, 0, 15, 3, 15, 1, 0, 15
1, 1990, 5, 67780, 0.249382166150527, 1, NA, NA, 0, 1, 1, 0, 1, 0, 1, NA, 0, 1
1, 1991, 1, 67780, 0, 0, 0.992948355915505, 0.993183830038359, 0, 0, 67780, 0, 0, 0, 0, 67318, 0, 0
1, 1991, 2, 67780, 0.000411645866011168, 0.0063201667885362, 0.625823846452826, 0.647058823529412, 0, 0.00649350649350649, 462, 0, 3, 0, 3, 297, 0, 3
